연도,"2021,01","2021,02","2021,03","2021,04","2021,05","2021,06","2021,07","2021,08","2021,09","2021,10","2021,11","2021,12","2022,01","2022,02","2022,03","2022,04","2022,05","2022,06","2022,07","2022,08","2022,09","2022,10","2022,11","2022,12","2023,01","2023,02","2023,03","2023,04","2023,05","2023,06","2023,07","2023,08","2023,09","2023,10","2023,11","2023,12","2024,01","2024,02","2024,03","2024,04","2024,05","2024,06","2024,07","2024,08","2024,09","2024,10","2024,11","2024,12","2025,01","2025,02","2025,03","2025,04","2025,05","2025,06","2025,07","2025,08","2025,09","2025,10","2025,11","2025,12"
실업률,5.7,4.9,4.3,4,4,3.8,3.2,2.6,2.7,2.8,2.6,3.5,4.1,3.4,3,3,3,3,2.9,2.1,2.4,2.4,2.3,3,3.6,3.1,2.9,2.8,2.7,2.7,2.7,2,2.3,2.1,2.3,3.3,3.7,3.2,3,3,3,2.9,2.5,1.9,2.1,2.3,2.2,3.8,3.7,3.2,3.1,2.9,2.8,2.8,2.4,2,2.1,2.2,2.2,
월별 환율평균,1097.49,1111.72,1119.4,1121.3,1123.28,1131.02,1143.98,1160.34,1169.54,1182.82,1182.91,1183.7,1194.01,1198.34,1221.03,1232.34,1247.25,1269.88,1270.74,1277.35,1286.3,1296.22,1296.71,1303.98,1305.73,1307.4,1310.39,1318.44,1318.47,1320.01,1323.57,1328.21,1329.47,1330.7,1331.74,1334.82,1350.69,1354.15,1361,1364.1,1365.39,1366.95,1367.83,1375.22,1380.13,1383.38,1389.66,1391.59,1391.83,1393.38,1394.49,1423.36,1426.66,1434.42,1444.31,1445.56,1455.79,1456.95,1457.77,1471.4
유가 평균,1314.2975,1327.081786,1368.614355,1385.916417,1391.78879,1419.134583,1461.754274,1476.853065,1475.119333,1537.877823,1580.4005,1520.498468,1514.345161,1589.549643,1816.417419,1876.112334,1898.901291,2018.421,2015.667016,1849.596291,1804.376583,1764.635323,1766.764417,1691.311774,1646.569032,1625.551607,1603.404032,1618.280084,1591.924516,1542.159167,1539.19871,1645.985081,1706.02125,1727.044274,1672.375417,1599.474839,1565.639113,1594.043535,1610.397097,1636.957834,1636.236774,1603.343833,1638.935726,1627.920242,1576.0015,1546.998871,1571.943167,1591.408387,1635.821532,1655.42125,1627.91629,1596.785333,1587.556855,1587.379417,1603.795887,1602.939274,1598.430667,1602.006774,1650.984333,1675.727361
